fold_name,class_label,accuracy
A,0,0.993007
A,1,0.886667
A,2,0.960784
A,3,0.934783
A,4,0.947368
A,5,0.919355
A,6,0.992424
A,7,0.737589
A,8,0.953020
A,9,0.986577
A,10,0.838462
A,11,0.904412
A,12,0.915584
A,13,0.948148
A,14,0.868421
A,15,0.962963
A,16,0.935252
A,17,0.993421
A,18,0.864286
A,19,0.946667
A,20,0.973684
A,21,0.891892
A,22,0.949275
A,23,0.868056
A,24,0.971631
A,25,0.932886
A,26,0.967949
A,27,0.898551
A,28,0.985507
A,29,0.812081
A,30,0.872180
A,31,0.848276
A,32,0.883562
A,33,0.933824
A,34,0.952381
A,35,0.979167
A,36,0.959350
A,37,0.966667
A,38,0.826087
A,39,0.913386
A,40,0.944828
A,41,0.963768
A,42,0.985507
A,43,0.865672
A,44,0.927536
B,0,1.000000
B,1,0.938356
B,2,0.930233
B,3,0.948905
B,4,0.914894
B,5,0.934211
B,6,0.993197
B,7,0.869281
B,8,0.984733
B,9,0.917355
B,10,0.891892
B,11,0.844444
B,12,0.953846
B,13,0.962406
B,14,0.893939
B,15,0.983871
B,16,0.967480
B,17,0.974359
B,18,0.914894
B,19,0.929134
B,20,0.916667
B,21,0.965278
B,22,0.960784
B,23,0.933824
B,24,0.926667
B,25,0.979592
B,26,0.964286
B,27,0.767123
B,28,0.993197
B,29,0.779412
B,30,0.879699
B,31,0.953947
B,32,0.968254
B,33,0.977099
B,34,0.843284
B,35,0.972603
B,36,0.851852
B,37,0.984962
B,38,0.933884
B,39,0.918699
B,40,0.978417
B,41,0.955224
B,42,0.848485
B,43,0.891156
B,44,0.711111
C,0,0.978417
C,1,0.854015
C,2,1.000000
C,3,0.936620
C,4,0.977612
C,5,0.902597
C,6,0.993056
C,7,0.728571
C,8,0.947761
C,9,0.968992
C,10,0.872180
C,11,0.931298
C,12,0.980892
C,13,0.898649
C,14,0.914286
C,15,1.000000
C,16,0.934783
C,17,0.980000
C,18,0.880795
C,19,0.979021
C,20,0.954887
C,21,0.950000
C,22,0.972028
C,23,0.874074
C,24,0.936170
C,25,0.832000
C,26,0.905797
C,27,0.781250
C,28,0.970149
C,29,0.935484
C,30,0.858268
C,31,0.900709
C,32,0.923077
C,33,0.979452
C,34,0.979592
C,35,0.992908
C,36,0.980645
C,37,0.952703
C,38,0.924242
C,39,0.958042
C,40,0.912752
C,41,0.969466
C,42,0.977778
C,43,0.928571
C,44,0.897959
D,0,0.882759
D,1,0.877551
D,2,0.854167
D,3,0.955128
D,4,0.976378
D,5,0.986301
D,6,1.000000
D,7,0.930556
D,8,0.901961
D,9,0.973333
D,10,0.798658
D,11,0.974194
D,12,0.901639
D,13,0.935252
D,14,0.901961
D,15,1.000000
D,16,0.988166
D,17,0.927007
D,18,0.830645
D,19,0.956835
D,20,0.909091
D,21,0.896000
D,22,0.954545
D,23,0.891156
D,24,0.889831
D,25,0.925170
D,26,0.931298
D,27,0.612245
D,28,0.921053
D,29,0.965753
D,30,0.870370
D,31,0.916031
D,32,0.942029
D,33,0.858108
D,34,0.914062
D,35,0.979310
D,36,0.875912
D,37,1.000000
D,38,0.870968
D,39,0.901235
D,40,0.924242
D,41,0.941606
D,42,0.877698
D,43,0.855072
D,44,0.875000
E,0,0.981013
E,1,0.866667
E,2,0.946154
E,3,0.984252
E,4,0.938356
E,5,0.943548
E,6,0.972222
E,7,0.877049
E,8,0.984962
E,9,0.960265
E,10,0.885714
E,11,0.699301
E,12,0.948905
E,13,0.937931
E,14,0.894309
E,15,0.944785
E,16,0.961832
E,17,0.979167
E,18,0.902778
E,19,0.794326
E,20,0.992248
E,21,0.867133
E,22,0.955224
E,23,0.927536
E,24,0.973333
E,25,0.946970
E,26,0.925926
E,27,0.631206
E,28,0.945736
E,29,0.965517
E,30,0.648276
E,31,0.854962
E,32,0.925373
E,33,0.892086
E,34,0.930556
E,35,1.000000
E,36,0.966667
E,37,0.977612
E,38,0.919753
E,39,0.937931
E,40,0.962963
E,41,0.987500
E,42,0.902439
E,43,0.937008
E,44,0.867647
