fold_name,class_label,accuracy
A,0,0.902098
A,1,0.613333
A,2,0.810458
A,3,0.695652
A,4,0.973684
A,5,0.903226
A,6,0.886364
A,7,0.070922
A,8,0.718121
A,9,0.852349
A,10,0.015385
A,11,0.235294
A,12,0.811688
A,13,0.703704
A,14,0.644737
A,15,0.451852
A,16,0.762590
A,17,0.828947
A,18,0.692857
A,19,0.640000
A,20,0.921053
A,21,0.858108
A,22,0.246377
A,23,0.347222
A,24,0.326241
A,25,0.221477
A,26,0.192308
A,27,0.326087
A,28,0.942029
A,29,0.865772
A,30,0.345865
A,31,0.806897
A,32,0.623288
A,33,0.632353
A,34,0.619048
A,35,0.291667
A,36,0.715447
A,37,0.966667
A,38,0.503106
A,39,0.779528
A,40,0.620690
A,41,0.681159
A,42,0.413043
A,43,0.925373
A,44,0.260870
B,0,0.652174
B,1,0.349315
B,2,0.465116
B,3,0.182482
B,4,0.822695
B,5,0.526316
B,6,0.891156
B,7,0.424837
B,8,0.557252
B,9,0.487603
B,10,0.000000
B,11,0.051852
B,12,0.653846
B,13,0.909774
B,14,0.893939
B,15,0.395161
B,16,0.780488
B,17,0.504274
B,18,0.234043
B,19,0.330709
B,20,0.696970
B,21,0.333333
B,22,0.065359
B,23,0.088235
B,24,0.293333
B,25,0.088435
B,26,0.464286
B,27,0.191781
B,28,0.972789
B,29,0.772059
B,30,0.345865
B,31,0.848684
B,32,0.111111
B,33,0.564885
B,34,0.753731
B,35,0.321918
B,36,0.814815
B,37,0.977444
B,38,0.247934
B,39,0.682927
B,40,0.575540
B,41,0.820896
B,42,0.448485
B,43,0.904762
B,44,0.037037
C,0,0.935252
C,1,0.686131
C,2,0.729167
C,3,0.683099
C,4,0.947761
C,5,0.694805
C,6,0.944444
C,7,0.571429
C,8,0.791045
C,9,0.906977
C,10,0.458647
C,11,0.610687
C,12,0.840764
C,13,0.993243
C,14,0.750000
C,15,0.466667
C,16,0.702899
C,17,0.966667
C,18,0.397351
C,19,0.636364
C,20,0.624060
C,21,0.735714
C,22,0.055944
C,23,0.037037
C,24,0.262411
C,25,0.320000
C,26,0.543478
C,27,0.789062
C,28,0.925373
C,29,0.572581
C,30,0.551181
C,31,0.801418
C,32,0.378205
C,33,0.678082
C,34,0.557823
C,35,0.765957
C,36,0.838710
C,37,0.979730
C,38,0.568182
C,39,0.958042
C,40,0.630872
C,41,0.885496
C,42,0.548148
C,43,0.805195
C,44,0.129252
D,0,0.937931
D,1,0.510204
D,2,0.708333
D,3,0.916667
D,4,0.944882
D,5,0.630137
D,6,0.879699
D,7,0.194444
D,8,0.764706
D,9,0.693333
D,10,0.033557
D,11,0.232258
D,12,0.737705
D,13,0.230216
D,14,0.810458
D,15,0.405594
D,16,0.426036
D,17,0.729927
D,18,0.661290
D,19,0.719424
D,20,0.844156
D,21,0.672000
D,22,0.090909
D,23,0.122449
D,24,0.347458
D,25,0.360544
D,26,0.824427
D,27,0.476190
D,28,0.960526
D,29,0.582192
D,30,0.475309
D,31,0.717557
D,32,0.420290
D,33,0.810811
D,34,0.781250
D,35,0.172414
D,36,0.394161
D,37,0.933333
D,38,0.193548
D,39,0.759259
D,40,0.916667
D,41,0.489051
D,42,0.762590
D,43,0.956522
D,44,0.180556
E,0,0.607595
E,1,0.333333
E,2,0.838462
E,3,0.811024
E,4,0.945205
E,5,0.846774
E,6,0.979167
E,7,0.500000
E,8,0.842105
E,9,0.443709
E,10,0.185714
E,11,0.601399
E,12,0.824818
E,13,0.882759
E,14,0.723577
E,15,0.815951
E,16,0.908397
E,17,0.791667
E,18,0.520833
E,19,0.482270
E,20,0.976744
E,21,0.783217
E,22,0.141791
E,23,0.434783
E,24,0.346667
E,25,0.204545
E,26,0.622222
E,27,0.758865
E,28,0.906977
E,29,0.903448
E,30,0.310345
E,31,0.862595
E,32,0.649254
E,33,0.640288
E,34,0.694444
E,35,0.572581
E,36,0.780000
E,37,0.910448
E,38,0.537037
E,39,0.862069
E,40,0.800000
E,41,0.868750
E,42,0.626016
E,43,0.795276
E,44,0.286765
